"ID","poids","aa_region","aa_zme","aa_milieu_residence","aa_sexe","aa_nom_region","fs_FCS","fs_HDDS","abs_agric_index","abs_nagric_index","abs_ubt_pc","abs_pdam_inv","abs_ractif","abs_superficie_pc","abs_stock_pc","adap_nb_assistance","adap_educ_cm","adap_nb_culture","adap_eco_div","adap_LhCSI_inv","trans_hygiene_index","trans_acces_eau","trans_electricite","trans_cuisson","trans_sol_log","trans_intrants","trans_proximite"
10595,116.759960710005,"1","7","2","1","Région 1",67,8,0,7.66481699406981,0.377,48.3180428134557,0.5,0.2,15,0,3,1,90.6393922375636,4,81.0021447111489,2,1,0,1,3,97.0691880131123
10596,116.759960710005,"1","7","2","1","Région 1",85,10,2.29301653122688,6.29493480403049,0.0753846153846154,31.9700344199231,0.461538461538462,0.384615384615385,73.0769230769231,0,1,3,85.9784374203534,4,62.8719058943898,2,1,0,1,3,76.2791273881858
10597,116.759960710005,"1","7","2","1","Région 1",82,8,0,4.32528391729603,0,26.840490797546,0.333333333333333,0,8.33333333333333,0,3,0,85.9784374203534,4,58.0799946661576,2,1,0,1,0,87.5360312753901
10598,116.759960710005,"1","7","2","1","Région 1",80,9,3.58690633788176,7.14505442688312,0.024,36.2801377726751,0.5,0,15,0,3,0,85.9784374203534,4,62.2565907433339,2,1,0,1,0,75.6964578990946
10637,116.759960710005,"1","7","2","1","Région 1",77,7,0,5.20855777872779,0.1,29.4425087108014,0.4,0.15,5,0,3,1,14.4802795227578,4,78.4783566319295,2,1,0,1,3,86.2234022106198
10638,116.759960710005,"1","7","2","1","Région 1",80,7,0,4.48043494919275,0.0171428571428571,34.1227125941873,0.571428571428571,0,5.71428571428571,0,1,0,92.1552077924124,4,12.7498218701113,2,1,0,1,0,89.001437268834
10639,116.759960710005,"1","7","2","1","Région 1",46.5,5,0,4.34316394292746,0,27.2117962466488,0.4,0,0,0,2,0,14.4802795227578,4,74.1591829793971,2,1,0,1,0,100
10640,116.759960710005,"1","7","2","1","Région 1",34,6,0,3.97201074935559,0,25.4199328107503,0.222222222222222,0,2.77777777777778,0,4,0,85.9784374203534,4,75.9367600824475,2,0,0,0,0,89.001437268834
10681,116.759960710005,"1","7","2","1","Région 1",51,8,0,4.07615035740265,0,18.1656453844633,0.333333333333333,0,4.16666666666667,2,1,0,85.9784374203534,4,44.1907803001745,2,0,0,0,0,89.001437268834
7961,340.81193449633,"1","7","2","1","Région 1",77,7,3.58690633788176,3.58034189161416,0.0617647058823529,28,0.588235294117647,0.176470588235294,3.23529411764706,0,1,2,85.9784374203534,3,2.96407477303158,2,1,0,1,3,89.001437268834
10599,340.81193449633,"1","7","2","1","Région 1",83,9,0,6.20609612801977,0,26.7626990144049,0.25,0,16.25,0,1,0,85.9784374203534,4,60.7567600626351,2,1,0,1,0,79.6657479822241
10600,340.81193449633,"1","7","2","1","Région 1",81,10,0,3.19707946053258,0,21.6,0.5,0,18.3333333333333,0,1,0,23.808096484759,4,61.58999932969,2,1,0,1,0,100
10601,340.81193449633,"1","7","2","1","Région 1",77,6,0,4.50498193724088,0,22.5703097187611,0.4,0,28,0,1,0,23.808096484759,4,60.2568165024022,2,1,0,1,0,100
10602,340.81193449633,"1","7","2","1","Région 1",99,10,2.82256749413946,9.21030459139802,0.18675,23.8005644402634,0.6,0.1,17.5,0,2,1,77.6749282696546,4,64.2563649842656,2,1,0,1,3,75.5828803974037
